method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Soft-Whitening,2048,1024,base_dim_2048.pt,0.44100883402381574,0.522777418628905,0.442614893449962,0.5149419086797935,0.442614893449962,0.5149419086797935,0.41356717908052804,0.48653602331517415,0.44354683188147487,0.5165264078774667,0.4924172989525082,0.5557960014924255,0.4397869985376645,0.5130141907288264,0.5174459522827473,0.5835020943348357
NCWP,2048,2,base_dim_2048.pt,0.10721701819903492,0.11276814256930029,0.08785792209311998,0.09083934580176693,0.08785792209311998,0.09083934580176693,0.09090482813715693,0.09389242627237229,0.10664130425655147,0.11117155601338312,0.16911058328647643,0.1696270563057124,0.11386835321076996,0.11789137832724575,0.194616007227757,0.1950914190185127
NCWP,2048,4,base_dim_2048.pt,0.14140418080114303,0.16211912638192563,0.1380403748107925,0.15778935864256785,0.1380403748107925,0.15778935864256785,0.12572182841148916,0.14618873126311885,0.14362916976510093,0.1672854049376406,0.208570505149875,0.22817328191853567,0.15445748412800622,0.17768034054898338,0.24255484069622293,0.263259574394764
NCWP,2048,8,base_dim_2048.pt,0.17329248896103389,0.2054083440207782,0.16127630182725253,0.2017170815326407,0.16127630182725253,0.2017170815326407,0.15640624126144206,0.19175745147351864,0.17694498830315125,0.21531249294301308,0.21274278453924034,0.25142192782503214,0.18941915969557166,0.22724819611052965,0.2514338503363571,0.29240513969146315
NCWP,2048,16,base_dim_2048.pt,0.2777905191108631,0.3023814044333151,0.256321357003606,0.2834634784662697,0.256321357003606,0.2834634784662697,0.24956779518929595,0.27437923346394816,0.25175604124992684,0.2988508913552681,0.3304435892582519,0.36104277237259297,0.26052168541949616,0.30749558972731655,0.3723612293768042,0.4046398651664325
NCWP,2048,32,base_dim_2048.pt,0.33242317109930025,0.3917475293074001,0.32835966979993786,0.3848294161572933,0.32835966979993786,0.3848294161572933,0.30891553286100515,0.365948082566735,0.33156123787043484,0.3867977604880552,0.3904077977638226,0.4532967501018822,0.3379826655567383,0.38852611923346325,0.42623031069582734,0.48557324226610793
NCWP,2048,64,base_dim_2048.pt,0.39163348662010405,0.4555944666228105,0.351206232022548,0.42022871318822164,0.351206232022548,0.42022871318822164,0.3472895595782915,0.41456964048223444,0.3995124140304378,0.46996523950500907,0.46543329466322003,0.5392775888505972,0.406385597709836,0.47423001870484194,0.5109231483091361,0.5854510276354385
NCWP,2048,128,base_dim_2048.pt,0.3817519933256788,0.45620676637143215,0.38490668729897043,0.4580448435150363,0.38490668729897043,0.4580448435150363,0.36323255137737454,0.4345421954317529,0.39201037743024064,0.46369815193177144,0.4463680915226864,0.5211985256713496,0.3969654649403113,0.47030190886132744,0.4828429196025606,0.5638160992133396
NCWP,2048,256,base_dim_2048.pt,0.3945089379878914,0.4771135506545876,0.3978536025451633,0.47638101774219277,0.3978536025451633,0.47638101774219277,0.37418140679646716,0.4524047590151089,0.413277061117644,0.49479467313017805,0.47735867248896047,0.5659156468032873,0.41459786658104897,0.49623309204029015,0.5119541097671918,0.6028858932583212
NCWP,2048,512,base_dim_2048.pt,0.3963918700013322,0.4803043279940193,0.4068083282804574,0.486511622672435,0.4068083282804574,0.486511622672435,0.38631569513260033,0.46858341734686754,0.4180013205160059,0.4996249096780816,0.4773166019120088,0.5620324517296313,0.4200038031524305,0.5027102452643212,0.5145375560923985,0.605211060805602
NCWP,2048,1024,base_dim_2048.pt,0.4165027258215369,0.5054974952329304,0.43604586747411217,0.5193108040194979,0.43604586747411217,0.5193108040194979,0.40897474628302427,0.49240420736114826,0.43503474416463633,0.5208836410285654,0.5036475077959914,0.5908411775967326,0.44140839435171236,0.5261635545067153,0.5458468204039418,0.6381451583217267
LPP,2048,2,base_dim_2048.pt,0.20202387541490174,0.22841591755503884,0.2218981575532753,0.24899310632632488,0.2218981575532753,0.24899310632632488,0.19233141485368654,0.216189288369268,0.1468081307757007,0.1743101644407158,0.1944073965505046,0.22215058156826792,0.15270708185051501,0.17727858106318015,0.21720356513158207,0.23792864105806485
LPP,2048,4,base_dim_2048.pt,0.233661617269892,0.2791095538157317,0.2344025057628599,0.26688055732579996,0.2344025057628599,0.26688055732579996,0.20964803950018238,0.24208785296981944,0.19937026311479034,0.23587668833515962,0.25683810384602535,0.29030718787426424,0.1964454194625986,0.22851294199884292,0.2664131947668074,0.2929740835898464
LPP,2048,8,base_dim_2048.pt,0.342000633590392,0.4120827834470026,0.33076509246303354,0.39946714241307196,0.33076509246303354,0.39946714241307196,0.2992178641196729,0.3640645272974367,0.28752954713799334,0.3577904791047579,0.3427107409242102,0.40871611053050194,0.27985798020274355,0.34619665100413927,0.349504314515923,0.4100153697057943
