dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[42, 43, 44]",2000,10000,ndcg@10,52.9781,m=5,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[42, 43, 44]",2000,10000,ndcg@10,32.9379,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,40,"[42, 43, 44]",2000,10000,ndcg@10,30.2985,m=5,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",2000,10000,ndcg@10,44.4123,ncwp_ref,0.0207
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,"[42, 43, 44]",2000,10000,ndcg@10,41.4053,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,80,"[42, 43, 44]",2000,10000,ndcg@10,35.7929,m=5,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8089,ncwp_ref,0.1991
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,"[42, 43, 44]",2000,10000,ndcg@10,49.8805,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,160,"[42, 43, 44]",2000,10000,ndcg@10,40.2894,m=5,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",2000,10000,ndcg@10,62.745,ncwp_ref,0.092
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,"[42, 43, 44]",2000,10000,ndcg@10,57.4901,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,320,"[42, 43, 44]",2000,10000,ndcg@10,44.2033,m=5,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",2000,10000,ndcg@10,65.3321,ncwp_ref,0.0262
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Base_mean_pool,4096,"[42, 43, 44]",2910,7128,spearman_x100,46.354,full dim,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_full,4096,"[42, 43, 44]",2910,7128,spearman_x100,55.7034,m=5,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,32,"[42, 43, 44]",2910,7128,spearman_x100,41.1063,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,32,"[42, 43, 44]",2910,7128,spearman_x100,42.5171,m=5,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ZCA_shrink,32,"[42, 43, 44]",2910,7128,spearman_x100,51.1929,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[42, 43, 44]",2910,7128,spearman_x100,57.5823,ncwp_ref,0.3736
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,64,"[42, 43, 44]",2910,7128,spearman_x100,47.7681,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,64,"[42, 43, 44]",2910,7128,spearman_x100,45.398,m=5,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ZCA_shrink,64,"[42, 43, 44]",2910,7128,spearman_x100,55.7814,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[42, 43, 44]",2910,7128,spearman_x100,59.6425,ncwp_ref,0.6079
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,128,"[42, 43, 44]",2910,7128,spearman_x100,52.7629,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,128,"[42, 43, 44]",2910,7128,spearman_x100,47.9076,m=5,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ZCA_shrink,128,"[42, 43, 44]",2910,7128,spearman_x100,56.6294,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[42, 43, 44]",2910,7128,spearman_x100,61.6479,ncwp_ref,0.1006
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,256,"[42, 43, 44]",2910,7128,spearman_x100,56.8395,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,256,"[42, 43, 44]",2910,7128,spearman_x100,49.9767,m=5,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ZCA_shrink,256,"[42, 43, 44]",2910,7128,spearman_x100,59.7168,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[42, 43, 44]",2910,7128,spearman_x100,62.7584,ncwp_ref,0.178
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Base_mean_pool,4096,"[42, 43, 44]",1000,10000,ndcg@10,52.834,full dim,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_full,4096,"[42, 43, 44]",1000,10000,ndcg@10,58.0069,m=5,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,32,"[42, 43, 44]",1000,10000,ndcg@10,32.9754,,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,32,"[42, 43, 44]",1000,10000,ndcg@10,31.1285,m=5,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[42, 43, 44]",1000,10000,ndcg@10,43.5088,ncwp_ref,0.5806
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,64,"[42, 43, 44]",1000,10000,ndcg@10,41.5139,,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,64,"[42, 43, 44]",1000,10000,ndcg@10,37.0599,m=5,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[42, 43, 44]",1000,10000,ndcg@10,57.7451,ncwp_ref,0.1984
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,128,"[42, 43, 44]",1000,10000,ndcg@10,48.9747,,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,128,"[42, 43, 44]",1000,10000,ndcg@10,41.4206,m=5,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[42, 43, 44]",1000,10000,ndcg@10,63.8084,ncwp_ref,0.3274
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,PCA_whitening,256,"[42, 43, 44]",1000,10000,ndcg@10,56.0621,,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,256,"[42, 43, 44]",1000,10000,ndcg@10,45.2608,m=5,
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[42, 43, 44]",1000,10000,ndcg@10,67.0579,ncwp_ref,0.4933
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Base_mean_pool,3584,"[42, 43, 44]",2910,7128,spearman_x100,37.9702,full dim,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_full,3584,"[42, 43, 44]",2910,7128,spearman_x100,48.4095,m=5,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,56,"[42, 43, 44]",2910,7128,spearman_x100,43.9618,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,56,"[42, 43, 44]",2910,7128,spearman_x100,40.0223,m=5,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_shrink,56,"[42, 43, 44]",2910,7128,spearman_x100,46.6955,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",2910,7128,spearman_x100,55.4637,ncwp_ref,0.6336
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,112,"[42, 43, 44]",2910,7128,spearman_x100,49.3701,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,112,"[42, 43, 44]",2910,7128,spearman_x100,42.3978,m=5,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_shrink,112,"[42, 43, 44]",2910,7128,spearman_x100,49.3911,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",2910,7128,spearman_x100,56.6193,ncwp_ref,0.1325
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,224,"[42, 43, 44]",2910,7128,spearman_x100,53.234,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,224,"[42, 43, 44]",2910,7128,spearman_x100,44.2446,m=5,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_shrink,224,"[42, 43, 44]",2910,7128,spearman_x100,52.9202,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[42, 43, 44]",2910,7128,spearman_x100,57.9192,ncwp_ref,0.4781
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,448,"[42, 43, 44]",2910,7128,spearman_x100,55.5843,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,448,"[42, 43, 44]",2910,7128,spearman_x100,45.5493,m=5,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_shrink,448,"[42, 43, 44]",2910,7128,spearman_x100,55.6322,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[42, 43, 44]",2910,7128,spearman_x100,58.7525,ncwp_ref,0.1537
