dataset,split,model_nickname,hf_model_id,embedding_type,method,r,fit_size,eval_size,metric_name,metric_value,notes,seed
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,56,2910,1379,spearman_x100,44.858,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,112,2910,1379,spearman_x100,35.8437,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,112,2910,1379,spearman_x100,41.2927,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,112,2910,1379,spearman_x100,43.7943,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,112,2910,1379,spearman_x100,49.8793,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,224,2910,1379,spearman_x100,37.0393,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,224,2910,1379,spearman_x100,40.3244,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,224,2910,1379,spearman_x100,45.2565,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,224,2910,1379,spearman_x100,52.9175,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,448,2910,1379,spearman_x100,37.9884,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,448,2910,1379,spearman_x100,40.5319,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,448,2910,1379,spearman_x100,46.3135,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,448,2910,1379,spearman_x100,54.7141,eigenvalue shrinkage alpha=0.1 (main-runner formula),
