sweep_param,param_value,dim,hp_k,hp_cosine_tau,hp_temperature,hp_lc,hp_lo,hp_lk,ndcg@10,ndcg@100,recall@10,recall@100,map
λ_cov,1.0,32,10,-2.0,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
λ_cov,1.0,64,10,-2.0,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
λ_cov,2.0,32,10,-2.0,0.12,2.0,1.0,1.0,46.8535678027081,49.90030511725081,53.42711334677549,67.7859219348659,43.99555599332526
λ_cov,2.0,64,10,-2.0,0.12,2.0,1.0,1.0,63.43336698857045,66.18920529925667,70.59835838645803,82.72822919776584,60.15753887264819
λ_cov,5.0,32,10,-2.0,0.12,5.0,1.0,1.0,46.87772312062107,49.919205248167245,53.377113346775495,67.6859219348659,44.0428188878227
λ_cov,5.0,64,10,-2.0,0.12,5.0,1.0,1.0,63.43336698857045,66.18966085313096,70.59835838645803,82.72822919776584,60.157859681717426
λ_cov,10.0,32,10,-2.0,0.12,10.0,1.0,1.0,46.85991306268552,49.897075195319246,53.45211334677549,67.7859219348659,43.98475001754353
λ_cov,10.0,64,10,-2.0,0.12,10.0,1.0,1.0,63.424005359912805,66.18092207560126,70.59835838645803,82.72822919776584,60.14864995215935
λ_orth,0.1,32,10,-2.0,0.12,1.0,0.1,1.0,46.78683177365817,49.79776225141569,53.381280013442165,67.57758860153257,43.912150468891255
λ_orth,0.1,64,10,-2.0,0.12,1.0,0.1,1.0,63.365846381094634,66.1146112795745,70.51919171979137,82.64851689617853,60.098259275926445
λ_orth,0.5,32,10,-2.0,0.12,1.0,0.5,1.0,46.761943827869395,49.77515190943826,53.36461334677549,67.49425526819923,43.89722523037391
λ_orth,0.5,64,10,-2.0,0.12,1.0,0.5,1.0,63.432869001840565,66.17600263675226,70.61669171979136,82.73204864221026,60.15487634433546
λ_orth,1.0,32,10,-2.0,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
λ_orth,1.0,64,10,-2.0,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
λ_orth,2.0,32,10,-2.0,0.12,1.0,2.0,1.0,46.94771475360387,50.01605009628053,53.43711334677549,67.88175526819924,44.107353773916714
λ_orth,2.0,64,10,-2.0,0.12,1.0,2.0,1.0,63.54958381694114,66.30130205359775,70.71252505312471,82.8448958644325,60.2692373307971
λ_orth,5.0,32,10,-2.0,0.12,1.0,5.0,1.0,47.2628727554612,50.40502441615953,53.34961334677549,67.90828509852217,44.572155105883596
λ_orth,5.0,64,10,-2.0,0.12,1.0,5.0,1.0,63.78768773959327,66.53872002423356,70.96289707693423,83.02648111347463,60.501764329693565
λ_orth,10.0,32,10,-2.0,0.12,1.0,10.0,1.0,47.63923188749156,50.78618727600103,53.603184775346925,68.14102319376028,44.99738945586589
λ_orth,10.0,64,10,-2.0,0.12,1.0,10.0,1.0,64.08325259728157,66.81838063895061,71.29476215629931,83.26832139125241,60.77478942385927
