method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
PCA-Whitening,2048,1024,base_dim_2048.pt,0.2908632186565061,0.3209440352461677,0.31632459782697026,0.3544017761851355,0.31632459782697026,0.3544017761851355,0.2795777237814814,0.31148217265628375,0.2573786562691457,0.3019878201546085,0.30155701394559176,0.3342260869701995,0.2691890144695375,0.3115713620120514,0.33970242315793103,0.37126069313357846
Soft-Whitening,2048,2,base_dim_2048.pt,0.1637493389814171,0.18014706235419514,0.16560975559160898,0.17523459658312623,0.16560975559160898,0.17523459658312623,0.14964451869932932,0.15925577381793718,0.1405738613009356,0.1559293412766461,0.20081108156102961,0.21384406896128472,0.146192788123803,0.1612545268741246,0.22818993431391468,0.2426809392435927
Soft-Whitening,2048,4,base_dim_2048.pt,0.24387761871276323,0.2875692573561424,0.2270623557142669,0.27349981172548704,0.2270623557142669,0.27349981172548704,0.21616559908497157,0.25366240009240143,0.22935491576647998,0.27350930830112186,0.2819163727164402,0.3275027815402297,0.23204075923844134,0.2739135751993612,0.30485595123384013,0.350567167667098
Soft-Whitening,2048,8,base_dim_2048.pt,0.29610261012275285,0.34773663236684066,0.27719884460662747,0.3354869591494332,0.27719884460662747,0.3354869591494332,0.26165523361287063,0.312670128759895,0.2959569234120917,0.3571897452599807,0.32293757058095357,0.37144320352905624,0.2984613743698694,0.35437867236862614,0.34458748133956213,0.38305522608864856
Soft-Whitening,2048,16,base_dim_2048.pt,0.35219551932013554,0.4194384520143514,0.3334733049791997,0.4018891465753737,0.3334733049791997,0.4018891465753737,0.3137474965777983,0.3746404635983701,0.36273288706869894,0.4393783911235943,0.3841720452046079,0.4571709102469389,0.36455676810985366,0.43520698308651073,0.4004052067040413,0.46673605237849947
Soft-Whitening,2048,32,base_dim_2048.pt,0.346751180289402,0.41815911785172966,0.33977616356106916,0.40852772318488567,0.33977616356106916,0.40852772318488567,0.3166858831001564,0.3811353344783362,0.3685545667580388,0.4377270521505284,0.38999263944808377,0.4644623317978276,0.37168000620560676,0.4381884140666429,0.4220447965367181,0.49047463300003047
Soft-Whitening,2048,64,base_dim_2048.pt,0.3800824345241647,0.4516005463313804,0.37272013307719204,0.4382425507320649,0.37272013307719204,0.4382425507320649,0.34834768463303795,0.4124341742615225,0.39119691657257566,0.4623823564583004,0.4269903835966551,0.4984317016683286,0.393109441625883,0.4607068500037262,0.4578942684415845,0.5218015135534942
Soft-Whitening,2048,128,base_dim_2048.pt,0.3921735406429354,0.4698189519657198,0.38638587764906135,0.4593678790576618,0.38638587764906135,0.4593678790576618,0.3634856952219896,0.4360108104367731,0.4071095353662361,0.4847770149003277,0.4352502693859654,0.5120727190261104,0.4093693733538894,0.4838229615691029,0.47064094994269245,0.5401484101030043
Soft-Whitening,2048,256,base_dim_2048.pt,0.39590890804885936,0.48020319424047947,0.3909925678734724,0.4716482568279217,0.3909925678734724,0.4716482568279217,0.36737409129116777,0.4467647118366957,0.4133701698325378,0.494130540765645,0.43474646338127404,0.5147673468876348,0.41512260519782057,0.49300423659958537,0.4654077340123634,0.5401375323187155
Soft-Whitening,2048,512,base_dim_2048.pt,0.39715390124506833,0.4819534793038929,0.393477666276533,0.4737613365996088,0.393477666276533,0.4737613365996088,0.3687876238992059,0.44806701337700355,0.41814041461902673,0.4973751682500072,0.4488057771209082,0.5251674624551601,0.4191031153109483,0.4954732102350363,0.4813442295497509,0.552996660255503
