dataset,split,model_nickname,hf_model_id,embedding_type,method,layer_name,layer_idx,pooling,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,27,mean,448,"[0, 1, 2]",2910,7128,spearman_x100,60.7329,ncwp_ref (second_last),0.0674
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_Base,last,32,mean,4096,"[0, 1, 2]",2910,7128,spearman_x100,46.373,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_last_last_Base,last,32,last,4096,"[0, 1, 2]",2910,7128,spearman_x100,34.515,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_Base,second_last,31,mean,4096,"[0, 1, 2]",2910,7128,spearman_x100,35.0519,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_second_last_last_Base,second_last,31,last,4096,"[0, 1, 2]",2910,7128,spearman_x100,36.8801,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_middle_mean_Base,middle,16,mean,4096,"[0, 1, 2]",2910,7128,spearman_x100,17.6795,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_middle_last_Base,middle,16,last,4096,"[0, 1, 2]",2910,7128,spearman_x100,30.2526,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_early_middle_mean_Base,early_middle,10,mean,4096,"[0, 1, 2]",2910,7128,spearman_x100,14.45,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,last_pool,LayerSelect_early_middle_last_Base,early_middle,10,last,4096,"[0, 1, 2]",2910,7128,spearman_x100,30.6157,,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,32,"[0, 1, 2]",2910,7128,spearman_x100,57.0474,ncwp_ref (reference),0.2211
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,64,"[0, 1, 2]",2910,7128,spearman_x100,59.9735,ncwp_ref (reference),0.081
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,128,"[0, 1, 2]",2910,7128,spearman_x100,61.5117,ncwp_ref (reference),0.3373
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_last_mean_NCWP,last,32,mean,256,"[0, 1, 2]",2910,7128,spearman_x100,62.2339,ncwp_ref (reference),0.1963
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,32,"[0, 1, 2]",2910,7128,spearman_x100,57.4763,ncwp_ref (second_last),0.4687
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,64,"[0, 1, 2]",2910,7128,spearman_x100,60.4771,ncwp_ref (second_last),0.2342
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,128,"[0, 1, 2]",2910,7128,spearman_x100,62.2092,ncwp_ref (second_last),0.3542
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,31,mean,256,"[0, 1, 2]",2910,7128,spearman_x100,63.2726,ncwp_ref (second_last),0.2063
