dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,per_seed,notes,config_name,k_neighbors,cosine_tau,temperature,shrink,hard_neg_K,qr_interval,lambda_cov,lambda_orth,memory_bank_size,refine_knn_rounds
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",2910,7128,spearman_x100,55.4928,0.2037,"[55.7432, 55.4908, 55.2443]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",2910,7128,spearman_x100,56.6468,0.1511,"[56.573, 56.51, 56.8573]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",2910,7128,spearman_x100,55.2537,0.1183,"[55.0868, 55.3474, 55.3268]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",2910,7128,spearman_x100,56.7107,0.2424,"[56.4819, 56.6038, 57.0462]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[42, 43, 44]",2910,7128,spearman_x100,57.6871,0.1363,"[57.6174, 57.5664, 57.8776]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[42, 43, 44]",2910,7128,spearman_x100,58.5316,0.1099,"[58.4292, 58.4815, 58.684]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",2910,7128,spearman_x100,55.3943,0.4279,"[55.5022, 55.8561, 54.8247]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",2910,7128,spearman_x100,56.8886,0.5991,"[57.5617, 56.1064, 56.9978]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[42, 43, 44]",2910,7128,spearman_x100,57.9543,0.0977,"[58.0824, 57.9351, 57.8453]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[42, 43, 44]",2910,7128,spearman_x100,58.5078,0.1308,"[58.6927, 58.4159, 58.4149]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",2910,7128,spearman_x100,55.4395,0.4935,"[55.6117, 55.9391, 54.7677]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",2910,7128,spearman_x100,57.1118,0.1541,"[57.3297, 57.0024, 57.0032]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[42, 43, 44]",2910,7128,spearman_x100,57.9229,0.2801,"[58.2559, 57.5707, 57.9423]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[42, 43, 44]",2910,7128,spearman_x100,58.6271,0.1548,"[58.4773, 58.8403, 58.5637]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[42, 43, 44]",2910,7128,spearman_x100,56.9022,0.3134,"[56.4711, 57.2071, 57.0284]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[42, 43, 44]",2910,7128,spearman_x100,59.5329,0.5228,"[58.9782, 59.3868, 60.2336]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[42, 43, 44]",2910,7128,spearman_x100,61.0595,0.3263,"[60.6298, 61.1288, 61.42]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[42, 43, 44]",2910,7128,spearman_x100,62.2279,0.2666,"[61.9721, 62.116, 62.5957]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[42, 43, 44]",2910,7128,spearman_x100,57.628,0.42,"[57.67, 57.0939, 58.1201]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[42, 43, 44]",2910,7128,spearman_x100,59.7518,0.5972,"[59.7613, 59.0157, 60.4785]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[42, 43, 44]",2910,7128,spearman_x100,61.7225,0.4843,"[62.0923, 61.0384, 62.0369]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[42, 43, 44]",2910,7128,spearman_x100,62.3996,0.0772,"[62.4901, 62.4075, 62.3014]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[42, 43, 44]",2910,7128,spearman_x100,57.8471,0.4723,"[58.0203, 57.2018, 58.3192]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[42, 43, 44]",2910,7128,spearman_x100,60.0425,0.4704,"[59.9836, 59.4981, 60.6459]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[42, 43, 44]",2910,7128,spearman_x100,61.7758,0.3146,"[62.1235, 61.3615, 61.8423]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[42, 43, 44]",2910,7128,spearman_x100,62.3719,0.0777,"[62.4802, 62.3342, 62.3015]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
